$PROTNR$;$PROCOD$;$PROTYP$;$PRONAM$;$PROEAN$;$PROKDS$;$PROLDS$;$PROLIF$;$PROMMG$;$PROSTA$;$PROBEH$;$PROVEP$;$PROPEH$;$PROIEH$;$PROLZE$;$PROWFL$;$PROLIK$;$PROOPR$;$PROMPR$;$PROVVA$;$PROKRE$;$PROZOL$;$PRONEX$;$PROONL$;$PROOST$;$PROKEY$;$PROODE$;$PROSEQ$
$104639$;$104639$;$Ersatzteil$;$Ring, Sicherungs- DIN 471 17X1$;$4030293001374$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$104914$;$104914$;$Ersatzteil$;$Einmaulschlüssel, SW 19$;$4030293001442$;$DIN 894$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.4;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$104949$;$104949$;$Ersatzteil$;$Hülse, Nadel-          HK 1010$;$4030293001459$;$10 X 14 X 10 MM$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.95;0.0;$$;$$;$84661010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$105546$;$105546$;$Ersatzteil$;$Ring, Sicher.- DIN 472 35X1,5$;$4030293001541$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$105872$;$105872$;$Ersatzteil$;$Schraube, DIN  912  M  5x 16 A$;$4030293001558$;$Zylinder AUS EDELSTAHL,ROSTFREI A 2$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181561$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$105880$;$105880$;$Ersatzteil$;$Scheibe,Fächer-, 5,1 DIN6798 #$;$4030293001565$;$nicht mehr lieferbar                    Bei Bedarf d. Schnorr-Ring S5 ersetzen$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106054$;$106054$;$Ersatzteil$;$Schraube, DIN 7984  M  5x 10$;$4030293001596$;$QUAL. 10.9 , JEDOCH MIT INNENSECHSKANT  SW 4$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181569$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106089$;$106089$;$Ersatzteil$;$Lager, Kugel- DIN 625    6200Z$;$4030293001619$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;5.35;0.0;$$;$$;$84821010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106097$;$106097$;$Ersatzteil$;$Feder, Paß- DIN 6885    A3x3x8$;$4030293001626$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.35;0.0;$$;$$;$73182400$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106119$;$106119$;$Ersatzteil$;$Ring, Sicher.- DIN 472 30X1,2$;$4030293001640$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.4;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106127$;$106127$;$Ersatzteil$;$Scheibe, Feder-, DIN 137 A 8$;$4030293001657$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106461$;$106461$;$Ersatzteil$;$Einmaulschlüssel, SW 17$;$4030293001671$;$NR.1198,ÄHNLICH DIN894,JEDOCH 230MM LANG17MM VERZINKT, IHRE NR.:9511985$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.4;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106577$;$106577$;$Ersatzteil$;$Zahnrad$;$4030293001718$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;30.1;0.0;$$;$$;$84839089$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106615$;$106615$;$Ersatzteil$;$Lager, Kugel- DIN 625 6000-2Z/$;$4030293001725$;$GEFETTET, 6000-2Z/LHT23$;$$;$$;0;0;0;0;0;$$;0;0;$$;5.35;0.0;$$;$$;$84821010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106623$;$106623$;$Ersatzteil$;$Lager, Kugel- DIN 625 6002-2RS$;$4030293001732$;$GEFETTET                                6002-2RSH$;$$;$$;0;0;0;0;0;$$;0;0;$$;6.95;0.0;$$;$$;$84821010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106682$;$106682$;$Ersatzteil$;$Schraube, DIN  912  M  5x 40$;$4030293001770$;$QUAL.8.8$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.35;0.0;$$;$$;$73181569$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106690$;$106690$;$Ersatzteil$;$Schraube, DIN  912  M  5x 30$;$4030293001787$;$verzinkt  Qual. 8.8$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181569$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106763$;$106763$;$Ersatzteil$;$Mutter, DIN 557 M  5$;$4030293001794$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181610$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$106917$;$106917$;$Ersatzteil$;$Schraube, Zylinder  M  5x108 #$;$4030293001817$;$NACH REF.BLATT 107.220, TEILE NR. 106.917$;$$;$$;0;0;0;0;0;$$;0;0;$$;2.7;0.0;$$;$$;$73269093$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107077$;$107077$;$Ersatzteil$;$Kabel o.Stecker kpl.a.3X1X4m #$;$4030293001824$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;13.2;0.0;$$;$$;$85444290$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107204$;$107204$;$Ersatzteil$;$Schraube, M 4x6 DIN 84$;$4030293001886$;$VERZINKT, 4.8$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181559$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107492$;$107492$;$Ersatzteil$;$Stirnlochschlüssel, RL 95$;$4030293001909$;$GLANZVERZINKT,IN NEUTRALER AUSFÜHRUNG$;$$;$$;0;0;0;0;0;$$;0;0;$$;6.2;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107611$;$107611$;$Ersatzteil$;$Scheibe                      #$;$4030293001930$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;2.0;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107638$;$107638$;$Ersatzteil$;$Ring, Dichtungs- 6201AVS 3-10$;$4030293001947$;$VORSPANNUNG 0,10 BIS 0,13$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.85;0.0;$$;$$;$73269095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107646$;$107646$;$Ersatzteil$;$Feder, Paß- DIN 6885   A4x4x12$;$4030293001954$;$MIT GEBROCHENEN KANTEN$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$73182400$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107670$;$107670$;$Ersatzteil$;$Welle, Getriebe-, montiert   #$;$4030293001978$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;137.0;0.0;$$;$$;$84831095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107697$;$107697$;$Ersatzteil$;$Deckel                       +$;$4030293001992$;$AUS AL-DRUCKGUß$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.5;0.0;$$;$$;$84839089$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107700$;$107700$;$Ersatzteil$;$Ring, Dichtungs- 6203JVS$;$4030293002005$;$-01 V=+ 0,02b+0,05 D= 0,02$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.0;0.0;$$;$$;$73269095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107719$;$107719$;$Ersatzteil$;$Schraube, M 5x 10 DIN 912$;$4030293002012$;$AUS EDELSTAHL ROSTFREI A 2$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.35;0.0;$$;$$;$73181569$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107727$;$107727$;$Ersatzteil$;$Scheibe, Dicht- 5x9x1-DIN7603$;$4030293002029$;$MAT.: KUPFER$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$74152100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107808$;$107808$;$Ersatzteil$;$Buchse                       #$;$4030293002050$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.9;0.0;$$;$$;$84833080$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107832$;$107832$;$Ersatzteil$;$Lager, Kugel- DIN 625 6201-2Z/$;$4030293002081$;$GEFETTET MIT LHT 23                     6201-2Z/LHT23$;$$;$$;0;0;0;0;0;$$;0;0;$$;5.35;0.0;$$;$$;$84821010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107840$;$107840$;$Ersatzteil$;$Lager, Kugel-, DIN 625 6203-2Z$;$4030293002098$;$GEFETTET MIT LHT 23,                    6203-2Z/LHT23$;$$;$$;0;0;0;0;0;$$;0;0;$$;5.55;0.0;$$;$$;$84821010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$107867$;$107867$;$Ersatzteil$;$Scheibe, Feder-, DIN  137 B 16$;$4030293002111$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.35;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108014$;$108014$;$Ersatzteil$;$Kohlenhalterkappe$;$4030293002142$;$AUS PRESSMASSE TYP 31.1449$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.85;0.0;$$;$$;$85472000$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108022$;$108022$;$Ersatzteil$;$Schraube, Zylinder  M  5x159 #$;$4030293002159$;$BRÜNIERT,REF.NR. 107.220$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.6;0.0;$$;$$;$73181559$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108030$;$108030$;$Ersatzteil$;$Mutter, DIN 934 M 5$;$4030293002166$;$QUAL 6 G,MIT 8 MM SCHLÜSSELWEITE$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181610$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108081$;$108081$;$Ersatzteil$;$Mutter, Sechskant- M 11X1    #$;$4030293002197$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.85;0.0;$$;$$;$73181691$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108138$;$108138$;$Ersatzteil$;$Schraube, DIN  963  M  5x 10$;$4030293002227$;$QUAL. 4.8,$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181559$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108278$;$108278$;$Ersatzteil$;$Endverbinder$;$4030293002265$;$ART.NR. 328 730-0$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$85369010$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108545$;$108545$;$Ersatzteil$;$Kondensator X1Y  0,1µF       #$;$4030293002302$;$IHRE NR. BV 16250/17$;$$;$$;0;0;0;0;0;$$;0;0;$$;5.0;0.0;$$;$$;$85322900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
